国籍・地域,在留資格,年齢,性別,都道府県,在留外国人数
001アフガニスタン,38：定住者,01歳,1:男,43：熊本県,1
001アフガニスタン,33：家族滞在,02歳,1:男,43：熊本県,1
001アフガニスタン,33：家族滞在,03歳,1:男,43：熊本県,1
001アフガニスタン,34：特定活動,11歳,1:男,43：熊本県,1
001アフガニスタン,31：留学,32歳,1:男,43：熊本県,2
001アフガニスタン,31：留学,34歳,1:男,43：熊本県,3
001アフガニスタン,16：技術・人文知識・国際業務,35歳,1:男,43：熊本県,1
001アフガニスタン,31：留学,35歳,1:男,43：熊本県,1
001アフガニスタン,34：特定活動,36歳,1:男,43：熊本県,1
001アフガニスタン,38：定住者,36歳,1:男,43：熊本県,1
001アフガニスタン,31：留学,37歳,1:男,43：熊本県,1
001アフガニスタン,11：経営・管理,51歳,1:男,43：熊本県,1
001アフガニスタン,35：永住者,69歳,1:男,43：熊本県,1
001アフガニスタン,34：特定活動,01歳,2:女,43：熊本県,1
001アフガニスタン,33：家族滞在,02歳,2:女,43：熊本県,1
001アフガニスタン,33：家族滞在,04歳,2:女,43：熊本県,1
001アフガニスタン,34：特定活動,06歳,2:女,43：熊本県,1
001アフガニスタン,33：家族滞在,07歳,2:女,43：熊本県,1
001アフガニスタン,34：特定活動,08歳,2:女,43：熊本県,1
001アフガニスタン,31：留学,26歳,2:女,43：熊本県,1
001アフガニスタン,33：家族滞在,27歳,2:女,43：熊本県,1
001アフガニスタン,33：家族滞在,32歳,2:女,43：熊本県,1
001アフガニスタン,34：特定活動,32歳,2:女,43：熊本県,1
001アフガニスタン,38：定住者,32歳,2:女,43：熊本県,1
002アラブ首長国連邦,31：留学,24歳,1:男,43：熊本県,1
004イスラエル,17：企業内転勤,29歳,1:男,43：熊本県,1
004イスラエル,36：日本人の配偶者等,32歳,1:男,43：熊本県,1
004イスラエル,17：企業内転勤,40歳,1:男,43：熊本県,1
004イスラエル,35：永住者,65歳,1:男,43：熊本県,1
006イラン,31：留学,24歳,1:男,43：熊本県,1
006イラン,31：留学,27歳,1:男,43：熊本県,1
006イラン,31：留学,25歳,2:女,43：熊本県,1
006イラン,31：留学,44歳,2:女,43：熊本県,1
007インド,35：永住者,15歳,1:男,43：熊本県,1
007インド,24：技能実習１号ロ,19歳,1:男,43：熊本県,1
007インド,31：留学,22歳,1:男,43：熊本県,2
007インド,26：技能実習２号ロ,23歳,1:男,43：熊本県,3
007インド,16：技術・人文知識・国際業務,24歳,1:男,43：熊本県,1
007インド,24：技能実習１号ロ,24歳,1:男,43：熊本県,2
007インド,26：技能実習２号ロ,24歳,1:男,43：熊本県,1
007インド,31：留学,24歳,1:男,43：熊本県,1
007インド,16：技術・人文知識・国際業務,25歳,1:男,43：熊本県,1
007インド,21：特定技能１号,25歳,1:男,43：熊本県,1
007インド,24：技能実習１号ロ,25歳,1:男,43：熊本県,2
007インド,26：技能実習２号ロ,25歳,1:男,43：熊本県,2
007インド,16：技術・人文知識・国際業務,26歳,1:男,43：熊本県,2
007インド,24：技能実習１号ロ,26歳,1:男,43：熊本県,1
007インド,26：技能実習２号ロ,26歳,1:男,43：熊本県,8
007インド,16：技術・人文知識・国際業務,27歳,1:男,43：熊本県,1
007インド,24：技能実習１号ロ,27歳,1:男,43：熊本県,2
007インド,26：技能実習２号ロ,27歳,1:男,43：熊本県,3
007インド,16：技術・人文知識・国際業務,28歳,1:男,43：熊本県,1
007インド,20：技能,28歳,1:男,43：熊本県,1
007インド,24：技能実習１号ロ,28歳,1:男,43：熊本県,1
007インド,26：技能実習２号ロ,28歳,1:男,43：熊本県,5
007インド,16：技術・人文知識・国際業務,29歳,1:男,43：熊本県,3
007インド,20：技能,29歳,1:男,43：熊本県,1
007インド,26：技能実習２号ロ,29歳,1:男,43：熊本県,1
007インド,20：技能,30歳,1:男,43：熊本県,2
007インド,26：技能実習２号ロ,30歳,1:男,43：熊本県,1
007インド,16：技術・人文知識・国際業務,31歳,1:男,43：熊本県,1
